County,State,Age.Percent 65 and Older,Education.Bachelor's Degree or Higher,Education.High School or Higher,Ethnicities.Hispanic or Latino,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino,Housing.Households,Housing.Persons per Household,Income.Median Houseold Income,Income.Per Capita Income,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Percent Female,Population.2020 Population,Population.2010 Population,Population.Population per Square Mile,Employment.Firms.Total,Employment.Firms.Women-Owned,Employment.Firms.Men-Owned,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Veteran-Owned,Employment.Firms.Nonveteran-Owned,county_names_with_casing,county_fips,total_votes_2020,total_votes_2016,total_votes_2012,total_votes_2008,total_votes_2004,total_votes_2000,prop_favored_dem_2020,prop_favored_dem_2016,prop_favored_dem_2012,prop_favored_dem_2008,prop_favored_dem_2004,prop_favored_dem_2000,winner_2020
ELBERT COUNTY,CO,17.2,35.8,96.7,7.6,94.3,87.7,9280,2.76,99199,44690,2.7,1850.85,4.5,87.6,49.4,26062,23086,12.5,2585,800,1457,110,2438,257,2213,Elbert County,8039.0,18983,15978,14178,13206,11361,8965,-0.5023968814202181,-0.5364250844911754,-0.4699534490055014,-0.4004997728305315,-0.4889534371974298,-0.4266592303402119,Republican
ELBERT COUNTY,GA,21.3,11.6,78.4,6.0,68.2,63.4,7559,2.5,38678,22355,2.6,351.06,5.4,87.6,52.4,19637,20166,57.4,1789,491,917,371,1379,325,1322,Elbert County,13105.0,9171,7987,8143,8317,7656,5853,-0.3649547486642678,-0.3446851133091272,-0.2060665602357853,-0.1805939641697727,-0.2144723092998954,-0.1255766273705791,Republican
ELK COUNTY,KS,28.9,15.6,88.5,4.7,93.6,89.4,1128,2.21,38750,23875,0.8,644.27,3.5,89.7,49.8,2483,2882,4.5,472,123,276,0,467,30,438,Elk County,20049.0,1361,1259,1369,1434,1515,1550,-0.6943423952975754,-0.7053216838760921,-0.5609934258582907,-0.4735006973500696,-0.495049504950495,-0.4374193548387097,Republican
ELK COUNTY,PA,22.5,19.6,92.3,0.9,97.9,97.2,14020,2.13,53440,29772,0.9,827.36,1.3,92.3,49.8,30990,31946,38.6,2861,1048,1401,52,2573,443,2079,Elk County,42047.0,16906,14426,13238,14258,14550,13578,-0.4506092511534367,-0.427838624705393,-0.1598428765674573,0.0430635432739514,-0.0872852233676976,-0.1173221387538666,Republican
ELKHART COUNTY,IN,15.1,19.8,80.8,16.8,89.5,74.1,71718,2.8,57021,26150,7.8,463.17,19.1,88.1,50.6,207047,197559,426.5,15619,4573,8549,1328,13716,1293,13362,Elkhart County,18039.0,74387,65630,67852,71458,61380,54482,-0.2804791159745655,-0.3219107115648332,-0.2649737664328243,-0.1119258865347477,-0.4073150863473444,-0.3735912778532358,Republican
ELKO COUNTY,NV,11.8,16.6,86.3,24.7,88.1,66.5,18065,2.85,81232,33875,8.6,17169.83,18.0,83.0,48.0,53702,48818,2.8,2990,987,1500,511,2257,313,2354,Elko County,32007.0,21957,18559,15986,16019,15309,14180,-0.5546750466821515,-0.5469044668354976,-0.5319029150506693,-0.4012734877333167,-0.5805735188451238,-0.5982369534555712,Republican
ELLIOTT COUNTY,KY,20.4,9.7,75.0,1.2,94.5,93.7,2523,2.37,32306,13856,0.3,234.32,2.2,83.2,43.0,7354,7852,33.5,180,72,92,0,169,0,161,Elliott County,21063.0,2995,2855,2399,2515,2957,2381,-0.512186978297162,-0.4413309982486865,0.0250104210087536,0.25168986083499,0.4034494420020291,0.2931541369172616,Republican
ELLIS COUNTY,KS,16.0,36.3,93.3,5.9,94.5,89.1,11544,2.39,52883,30956,2.7,899.91,6.5,76.9,49.6,28934,28452,31.6,3805,962,1952,121,3531,203,3382,Ellis County,20051.0,13800,11947,11714,12447,12187,11160,-0.4363043478260869,-0.479116096091069,-0.4560355130612942,-0.3371896842612678,-0.3165668335111183,-0.2320788530465949,Republican
ELLIS COUNTY,OK,23.2,20.1,85.8,7.3,93.2,86.4,1614,2.45,53245,28195,2.4,1231.52,5.2,85.9,51.0,3749,4151,3.4,503,188,206,0,481,0,472,Ellis County,40045.0,1873,1827,1801,1909,2080,2013,-0.8147357180993059,-0.7969348659003832,-0.7490283176013326,-0.7045573598742798,-0.6201923076923077,-0.5191256830601093,Republican
ELLIS COUNTY,TX,13.1,24.3,86.2,26.9,84.1,58.9,57307,3.0,76871,32571,7.7,935.49,18.0,87.7,50.6,192455,149610,159.9,12813,4063,7028,3413,8949,1121,11080,Ellis County,48139.0,85493,63673,54151,53853,46444,37307,-0.3409869813902892,-0.4505520393259309,-0.4744695388820151,-0.4223534436335951,-0.4944018603048833,-0.4144530517061141,Republican
ELLSWORTH COUNTY,KS,21.3,19.5,91.6,6.3,91.4,85.6,2388,2.24,54902,26443,2.0,715.85,3.5,86.6,43.3,6376,6497,9.1,609,136,314,0,559,166,302,Ellsworth County,20053.0,2853,2679,2712,2938,3102,2839,-0.5257623554153522,-0.5405001866368048,-0.4528023598820059,-0.3982300884955752,-0.4700193423597679,-0.3592814371257485,Republican
ELMORE COUNTY,AL,15.6,25.1,86.6,3.2,75.7,73.1,29708,2.58,60891,29052,2.1,618.49,3.5,85.4,51.7,87977,79303,128.2,5249,1723,2975,882,4185,889,4060,Elmore County,1051.0,41030,37260,35485,34315,28680,23804,-0.4825006093102608,-0.5150563607085346,-0.4875017613075948,-0.5092816552528049,-0.5434100418410042,-0.4253486808939674,Republican
ELMORE COUNTY,ID,14.1,18.7,89.9,17.8,87.8,72.4,10606,2.45,46855,23028,9.8,3074.74,14.4,78.8,47.6,28666,27038,8.8,1514,510,666,249,1189,103,1289,Elmore County,16039.0,10205,8522,8001,8436,8059,6966,-0.4551690347868692,-0.4696080732222483,-0.3392075990501187,-0.3643907064959696,-0.5027919096662117,-0.437984496124031,Republican
EMANUEL COUNTY,GA,16.5,13.0,78.6,4.6,62.8,59.1,8387,2.58,37453,19389,2.5,680.6,4.6,87.3,50.4,22768,22598,33.2,1789,768,840,583,1131,218,1473,Emanuel County,13107.0,9501,7860,8083,8242,7468,6263,-0.3859593726976108,-0.3689567430025445,-0.2688358282815786,-0.2477553991749574,-0.2533476164970542,-0.0811112885198786,Republican
EMERY COUNTY,UT,17.7,16.3,93.8,6.5,96.4,90.6,3665,2.74,55554,23705,2.5,4462.31,7.3,90.3,49.1,9825,10976,2.5,548,143,290,0,508,47,460,Emery County,49015.0,4898,4289,4449,4448,4678,4398,-0.7421396488362597,-0.7099557006295173,-0.7210609125646212,-0.5361960431654677,-0.6306113723813596,-0.5195543428831287,Republican
EMMET COUNTY,IA,21.6,18.8,90.7,10.1,94.1,86.5,4036,2.1,51563,28651,5.0,395.88,8.1,83.9,49.6,9388,10302,26.0,978,268,466,40,891,62,833,Emmet County,19063.0,4853,4753,4687,5015,5156,4630,-0.3601895734597156,-0.3717652009257311,-0.087049285257094,0.0392821535393819,-0.0566330488750969,-0.03585313174946,Republican
EMMET COUNTY,MI,23.3,33.4,93.9,1.8,92.4,91.1,14463,2.25,55829,34074,1.9,467.49,3.4,87.0,50.6,34112,32694,69.9,4651,1166,2884,274,4232,475,3813,Emmet County,26047.0,22177,18802,17709,18149,17372,14711,-0.1115119267709789,-0.1938091692373152,-0.170986504037495,-0.0440244641578048,-0.2006677411927239,-0.2141934606756848,Republican
EMMONS COUNTY,ND,28.1,18.2,87.3,1.1,96.4,95.3,1585,2.05,55902,33088,2.1,1510.44,8.2,93.6,49.3,3301,3550,2.4,378,113,149,0,358,42,314,Emmons County,38029.0,2009,1981,1884,1837,2113,1992,-0.7471378795420607,-0.7380111055022716,-0.5583864118895966,-0.3723462166575939,-0.3965925224798864,-0.514558232931727,Republican
EMPORIA CITY,VA,16.8,13.8,79.4,6.8,28.0,24.5,2086,2.49,27063,18494,2.8,6.89,6.5,82.5,54.9,5766,5927,859.8,581,148,360,147,381,140,393,Emporia city,51595.0,2384,2367,2696,2617,2221,2080,0.3598993288590604,0.3130544993662864,0.3364243323442136,0.30760412686282,0.1247185952273751,0.085576923076923,Democrat
ERATH COUNTY,TX,14.7,31.5,88.3,21.6,93.9,73.9,13595,2.92,52742,27639,8.7,1083.07,15.8,80.4,51.0,42545,37890,35.0,3708,950,1965,429,3143,337,3105,Erath County,48143.0,16856,13893,12473,14019,12281,11115,-0.6388229710488847,-0.6514071834736919,-0.6705684278040568,-0.5449746772237677,-0.5533751323182151,-0.4788124156545209,Republican
ERIE COUNTY,NY,18.4,34.4,91.8,5.8,79.3,75.0,389585,2.29,58121,33598,7.2,1042.69,10.7,87.8,51.6,954236,919040,881.4,61354,19041,37199,8090,50955,5802,52637,Erie County,36029.0,476787,423625,414195,441985,445138,424654,0.1460757109568843,0.0640967837120095,0.1874527698306353,0.1753091168252316,0.1513350915895744,0.1883886646540477,Democrat
ERIE COUNTY,OH,22.6,23.2,91.8,4.5,86.7,83.0,31183,2.36,54226,32790,2.0,251.56,3.3,88.6,51.1,75622,77079,306.4,5583,1616,3346,408,4866,531,4580,Erie County,39043.0,40335,37578,39405,41229,40076,35015,-0.1157059625635305,-0.0955612326361169,0.1228524298946833,0.138640277474593,0.0700419203513324,0.0464658003712694,Republican
ERIE COUNTY,PA,18.6,27.9,91.3,4.4,87.4,84.0,110318,2.36,51529,28306,4.4,799.15,6.8,85.1,50.6,270876,280566,351.1,18667,5581,10882,1267,16593,1639,16019,Erie County,42049.0,137083,123679,118619,127642,125898,112335,0.0103368032505854,-0.0158232197867059,0.1602694340704272,0.1991820874006988,0.0837900522645315,0.0923309743178884,Democrat
ESCAMBIA COUNTY,AL,18.3,12.5,81.1,2.6,62.3,60.3,13089,2.61,36275,19028,0.7,945.08,1.4,94.2,49.7,36757,38319,40.5,2822,951,1646,648,2053,501,2196,Escambia County,1053.0,15910,14845,14869,14674,12395,11660,-0.3740414833438089,-0.3590434489727181,-0.2554307619880288,-0.2853346054245604,-0.3791044776119402,-0.2102915951972555,Republican
ESCAMBIA COUNTY,FL,17.1,26.5,90.5,5.9,68.9,64.0,120104,2.46,50915,28022,5.1,656.46,7.0,81.8,50.6,321905,297619,453.4,21327,8390,10635,5704,14673,2713,17127,Escambia County,12033.0,170372,152469,148502,154447,143278,116648,-0.1511105111168502,-0.2055958916238711,-0.2055595210838911,-0.1931989614560335,-0.3157288627702788,-0.2749639942390782,Republican
ESMERALDA COUNTY,NV,35.7,16.1,88.3,19.2,84.9,66.3,491,1.96,37375,25849,7.2,3581.88,14.8,90.1,45.7,729,783,0.2,66,33,26,0,54,0,60,Esmeralda County,32009.0,480,423,435,439,481,491,-0.6729166666666666,-0.624113475177305,-0.5172413793103448,-0.4533029612756264,-0.5571725571725572,-0.4419551934826884,Republican
ESSEX COUNTY,MA,17.6,39.9,89.3,22.2,85.1,69.0,294202,2.6,79263,42347,17.3,492.56,26.5,89.0,51.8,809829,743159,1508.8,71118,24612,41046,10741,58429,6629,61791,Essex County,25009.0,424599,379868,366357,353665,333233,310333,0.2881801417337299,0.2263786367896216,0.1632888139164803,0.2029802213959538,0.1769152514906987,0.2203761765587288,Democrat
ESSEX COUNTY,NJ,13.9,35.5,86.1,23.8,48.9,30.2,285908,2.71,61510,38722,27.2,126.21,35.9,89.6,51.9,863728,783969,6211.5,75564,29092,39994,35331,37784,4543,68453,Essex County,34013.0,345311,310934,303019,315004,289348,259573,0.5541236740213895,0.5713784918986022,0.568320798365779,0.5277488539828066,0.4157865269502467,0.4571469297654225,Democrat
ESSEX COUNTY,NY,24.3,26.8,91.5,3.0,94.5,92.3,15790,2.19,56763,31667,3.7,1794.23,6.1,86.5,48.3,37381,39370,21.9,3549,1164,1921,82,3321,601,2743,Essex County,36031.0,19470,17218,16717,18591,19082,17932,0.0498715973292244,-0.0113834359391334,0.1969252856373751,0.1332365122908934,-0.0480033539461272,-0.0499107740352442,Democrat
ESSEX COUNTY,VA,23.7,17.4,82.3,3.9,57.3,54.9,4555,2.38,51954,26847,1.6,257.12,3.6,87.8,53.1,10599,11151,43.4,842,229,470,146,640,139,614,Essex County,51057.0,6178,5408,5675,5364,4344,3831,-0.0059889932016833,-0.0212647928994083,0.0729515418502202,0.1034675615212528,-0.0683701657458563,-0.0639519707648132,Republican
ESSEX COUNTY,VT,26.5,16.2,86.8,1.5,96.3,95.1,2740,2.25,44349,25376,3.7,663.6,6.4,91.1,49.7,5920,6306,9.5,466,123,285,0,445,36,404,Essex County,50009.0,4237,2925,2798,3101,2937,2892,-0.0646683974510267,-0.1664957264957265,0.134024303073624,0.144792002579813,-0.1072522982635341,-0.150414937759336,Republican
ESTILL COUNTY,KY,19.2,9.9,75.6,1.3,98.1,97.0,5499,2.56,31688,17746,0.0,253.08,0.2,87.3,50.6,14163,14672,58.0,890,407,415,25,842,41,805,Estill County,21065.0,6538,5545,5184,5314,5575,4710,-0.5728051391862956,-0.564111812443643,-0.4616126543209876,-0.4008280015054573,-0.3095964125560538,-0.3061571125265392,Republican
ETOWAH COUNTY,AL,19.4,17.8,84.6,4.1,80.7,77.5,38942,2.6,44637,24883,2.8,534.99,4.1,86.4,51.6,103436,104430,195.2,8616,2902,4938,1137,7168,1030,7161,Etowah County,1055.0,47728,44164,42530,44737,42680,39348,-0.5020323499832383,-0.4961280681097726,-0.3838937220785328,-0.3821892393320964,-0.2734536082474227,-0.0928636779505946,Republican
EUREKA COUNTY,NV,16.4,8.8,94.6,13.2,91.8,80.3,774,2.4,67105,34249,1.9,4175.68,4.4,89.5,46.6,1855,1987,0.5,169,0,74,0,156,28,131,Eureka County,32011.0,1008,854,808,745,738,837,-0.7767857142857143,-0.7599531615925059,-0.6881188118811881,-0.563758389261745,-0.5785907859078592,-0.5758661887694145,Republican
EVANGELINE PARISH,LA,15.8,11.6,75.7,4.0,69.5,66.5,12172,2.63,31965,18770,3.3,662.38,18.9,86.4,49.0,32350,33984,51.3,2152,642,1198,460,1603,209,1823,Evangeline Parish,22039.0,15412,14882,15770,15976,13979,13612,-0.4473786659745652,-0.4133852976750437,-0.3076093849080532,-0.2466199298948422,-0.1568066385292224,-0.112180429033206,Republican
EVANS COUNTY,GA,16.3,15.8,76.2,11.8,65.3,56.3,4020,2.53,42607,20725,4.6,182.85,12.0,88.6,51.5,10774,11000,60.2,944,464,421,247,673,127,773,Evans County,13109.0,4247,3613,3563,3855,3514,3080,-0.3682599481987285,-0.3526155549404926,-0.280662363177098,-0.2822308690012969,-0.3067729083665338,-0.2025974025974026,Republican
FAIRFAX CITY,VA,14.9,60.8,94.0,17.2,67.8,56.2,8577,2.67,116979,50029,28.9,6.24,33.9,83.8,51.4,24146,22565,3616.6,4757,1546,2506,1738,2669,329,4062,Fairfax city,51600.0,13487,12030,11629,11398,10546,9556,0.3831096611551864,0.3046550290939318,0.1613208358414309,0.1652921565186875,0.0331879385549023,-0.0419631645039765,Democrat
FAIRFAX COUNTY,VA,14.0,61.6,92.5,16.5,64.7,50.0,396501,2.87,124831,56231,31.3,390.97,39.3,85.3,50.4,1150309,1081726,2766.8,115917,41905,62967,47911,64164,12378,98963,Fairfax County,51059.0,601243,551183,529287,516254,461379,413775,0.418369943600175,0.3581804954071515,0.2049927544035655,0.2118433949180054,0.0730223959044516,-0.0137272672346081,Democrat
FAIRFIELD COUNTY,CT,16.3,47.9,90.0,20.5,78.4,60.9,340189,2.72,95645,57263,22.0,624.89,29.7,88.2,51.3,957419,916829,1467.2,107557,34959,60955,21309,81744,8715,93696,Fairfield County,9001.0,472396,421209,396130,411096,400967,370289,0.273202990711183,0.1988917615720462,0.1063438770100724,0.1811620643353377,0.0406442425436506,0.0921172381572231,Democrat
FAIRFIELD COUNTY,OH,16.1,27.6,92.6,2.4,86.8,84.9,56339,2.69,67609,32021,3.7,504.41,4.4,87.0,50.3,158921,146156,289.8,11556,3635,6513,998,10196,1081,9878,Fairfield County,39045.0,83311,72913,72068,71946,67855,54094,-0.234938963642256,-0.2665231165910056,-0.1546317366931231,-0.1713785339004253,-0.2641367622135436,-0.2672754834177542,Republican
FAIRFIELD COUNTY,SC,22.4,16.9,86.2,2.4,40.1,38.5,9191,2.42,38213,23380,0.7,686.28,2.4,91.6,52.2,20948,23956,34.9,1702,728,824,848,766,186,1452,Fairfield County,45039.0,12136,11267,11895,11619,9435,8398,0.2271753460777851,0.2589864205201029,0.3176124422026061,0.3166365435923918,0.2366719660837308,0.2681590854965467,Democrat
FALL RIVER COUNTY,SD,29.9,21.1,94.4,3.8,86.8,84.2,2986,2.16,50588,27556,2.3,1739.92,4.9,87.1,49.5,6973,7094,4.1,627,188,321,0,575,36,515,Fall River County,46047.0,4042,3563,3516,3755,3845,3429,-0.4515091538842157,-0.4743193937692955,-0.3179749715585893,-0.2689747003994673,-0.282704811443433,-0.3067949839603383,Republican
FALLON COUNTY,MT,17.0,19.0,94.6,1.6,96.3,94.8,1334,2.12,64545,37024,2.4,1620.77,2.3,90.5,49.0,3049,2890,1.8,340,101,117,0,316,0,293,Fallon County,30025.0,1575,1484,1405,1539,1491,1369,-0.7638095238095238,-0.7580862533692723,-0.6341637010676157,-0.4847303443794671,-0.5962441314553991,-0.5880204528853177,Republican
FALLS CHURCH CITY,VA,12.9,77.6,98.9,10.7,79.4,71.7,5493,2.56,127610,72325,19.2,2.0,19.3,80.5,51.4,14658,12332,6169.8,2129,763,1090,503,1520,213,1786,Falls Church city,51610.0,8819,7757,7276,6750,6098,5593,0.641342555845334,0.5794766017790383,0.3941726223199561,0.4037037037037037,0.3066579206297146,0.1748614339352762,Democrat
FALLS COUNTY,TX,18.7,12.4,76.9,24.0,71.9,50.5,5199,2.99,39497,18745,5.6,765.48,18.6,88.0,52.6,16968,17866,23.3,1047,332,588,310,702,120,848,Falls County,48145.0,6133,5248,5434,5599,5902,5715,-0.3714332300668514,-0.3347942073170731,-0.2434670592565329,-0.1969994641900339,-0.1740088105726872,-0.1438320209973753,Republican
FANNIN COUNTY,GA,30.6,21.8,86.6,2.6,96.7,94.4,10408,2.42,47997,27940,1.5,386.72,2.8,88.7,51.5,25319,23682,61.2,2875,989,1719,87,2730,239,2521,Fannin County,13111.0,14850,11812,10017,10584,9650,8390,-0.6463299663299663,-0.6526413816457839,-0.5819107517220725,-0.4909297052154195,-0.4284974093264249,-0.3250297973778307,Republican
FANNIN COUNTY,TX,18.6,17.4,85.5,12.0,89.1,78.2,12453,2.52,54648,27112,5.3,890.84,9.7,82.1,46.8,35662,33915,38.1,2597,810,1422,449,1976,397,2142,Fannin County,48147.0,15007,12044,10804,11694,11960,10340,-0.6341040847604451,-0.6157422783128528,-0.5252684191040355,-0.3957585086369077,-0.3254180602006689,-0.1907156673114119,Republican
FARIBAULT COUNTY,MN,23.2,18.6,92.6,7.3,96.4,90.0,6137,2.2,53156,29991,2.2,712.48,4.5,91.0,49.7,13921,14553,20.4,1720,450,830,45,1620,155,1451,Faribault County,27043.0,7914,7412,7713,8152,8681,8424,-0.3361132170836492,-0.3381003777657851,-0.0903669130040191,-0.0564278704612364,-0.1183043428176476,-0.0845204178537512,Republican
FAULK COUNTY,SD,23.6,26.9,93.3,1.0,97.8,97.1,895,2.25,55096,27569,0.0,981.75,2.8,92.4,49.9,2125,2364,2.4,464,107,229,0,453,123,320,Faulk County,46049.0,1182,1118,1127,1174,1369,1329,-0.6480541455160744,-0.5849731663685153,-0.3850931677018634,-0.2666098807495741,-0.3849525200876552,-0.3882618510158013,Republican
FAULKNER COUNTY,AR,12.9,30.6,91.8,4.2,83.6,79.9,44575,2.66,52827,26913,3.2,647.88,5.6,87.6,51.2,123498,113237,174.8,9133,2994,4769,939,7827,762,7873,Faulkner County,5045.0,54428,47527,41460,41179,36686,29216,-0.2953259351804218,-0.3096555642056094,-0.3159913169319826,-0.2527259039801841,-0.1901542822875211,-0.1405052026286966,Republican
FAUQUIER COUNTY,VA,16.9,36.4,92.5,9.2,87.0,79.0,24562,2.82,100783,45408,6.4,647.45,9.1,89.5,50.6,72972,65203,100.7,6836,2258,3713,692,5908,794,5625,Fauquier County,51061.0,43671,37467,35555,34219,29915,23481,-0.1726775205513956,-0.2443750500440387,-0.1988187315426803,-0.1347497004588094,-0.2774193548387097,-0.2623397640645629,Republican
FAYETTE COUNTY,AL,21.7,12.4,82.6,2.1,85.8,84.1,6802,2.38,39856,22483,0.9,627.66,1.3,86.8,51.3,16321,17241,27.5,1139,436,548,123,963,61,1001,Fayette County,1057.0,8766,8249,7946,7957,8002,7808,-0.6736253707506275,-0.648563462237847,-0.5332242637805185,-0.48875204222697,-0.390652336915771,-0.1944159836065573,Republican
FAYETTE COUNTY,GA,18.7,46.2,95.3,7.5,66.7,60.6,40285,2.77,90145,44061,10.2,194.34,12.5,88.1,51.6,119194,106567,548.3,11032,4272,5536,3421,7177,1340,9161,Fayette County,13113.0,71993,60913,58568,59321,52528,42449,-0.0678815995999611,-0.1931279037315516,-0.3131232072121295,-0.3066030579390097,-0.4275624428876028,-0.410516148790313,Republican
FAYETTE COUNTY,IA,21.5,18.3,91.7,2.7,95.5,93.1,8200,2.33,51128,28643,0.9,730.81,3.2,87.2,49.6,19509,20880,28.6,2068,494,1128,36,1943,293,1629,Fayette County,19065.0,10186,9975,10366,10259,10392,9621,-0.2296289024150795,-0.1935839598997493,0.1196218406328381,0.1660005848523248,0.0054849884526558,-0.011121505041056,Republican
FAYETTE COUNTY,IL,19.4,11.3,83.8,1.8,93.5,92.1,7737,2.57,46650,23194,1.3,716.48,4.7,86.4,47.3,21488,22140,30.9,1427,366,827,45,1309,139,1159,Fayette County,17051.0,10056,9585,8971,9680,9549,9338,-0.619431185361973,-0.5793427230046948,-0.3453349682309664,-0.1582644628099174,-0.241805424651796,-0.1407153566074105,Republican
FAYETTE COUNTY,IN,20.5,13.3,82.1,1.5,96.4,95.2,9584,2.38,46175,24015,0.7,215.01,1.5,87.4,50.6,23398,24277,112.9,1275,435,637,65,1137,193,934,Fayette County,18041.0,10136,9530,8837,9462,9468,8647,-0.5443962115232833,-0.4813221406086044,-0.1686092565350232,-0.0558021559923905,-0.225496408956485,-0.1902393893836013,Republican
FAYETTE COUNTY,KY,13.9,43.6,91.2,7.4,77.2,70.7,129784,2.37,57291,34442,9.7,283.65,13.1,75.6,51.1,322570,295803,1042.8,28671,9148,16148,3431,23928,2863,24056,Fayette County,21067.0,152664,136315,125866,127639,125576,105477,0.2077831053817534,0.0945163775079778,0.0102092701762191,0.0482454422237716,-0.0669873224182965,-0.0684319804317528,Democrat
FAYETTE COUNTY,OH,18.3,16.3,85.7,2.3,94.1,92.2,11773,2.4,47308,26079,1.8,406.36,2.3,87.2,50.8,28951,29030,71.4,2555,581,1558,69,2268,129,2160,Fayette County,39047.0,12612,11162,11020,11694,11756,9278,-0.5152235965746907,-0.4708833542375918,-0.2151542649727768,-0.2309731486232255,-0.2586764205512079,-0.2502694546238413,Republican
FAYETTE COUNTY,PA,21.7,17.3,88.4,1.3,92.6,91.6,54837,2.3,47364,27368,1.4,790.34,3.2,90.9,50.4,128804,136606,172.8,8105,2343,4709,369,7430,856,6734,Fayette County,42051.0,62139,53767,48505,52554,54707,49532,-0.3344598400360482,-0.3095579072665389,-0.0834346974538707,-0.004091030178483,0.0744877255195861,0.1643180166357102,Republican
FAYETTE COUNTY,TN,22.1,22.2,86.2,3.0,70.3,67.8,15596,2.54,60711,33383,1.8,704.79,2.7,90.5,50.7,41990,38413,54.5,4054,1429,2299,946,2992,598,3317,Fayette County,47047.0,22984,19394,19574,19254,14731,11529,-0.3769143752175427,-0.3702691554088893,-0.3065801573515888,-0.2742806689519061,-0.2218450885886905,-0.1183970856102003,Republican
FAYETTE COUNTY,TX,26.4,19.7,86.1,21.5,90.6,71.0,9135,2.7,60189,30170,7.6,950.01,19.3,94.1,50.7,24435,24554,25.8,2527,854,1216,257,2138,255,2136,Fayette County,48149.0,12941,11174,10551,10714,10397,9387,-0.5803260953558458,-0.5905673885806336,-0.5488579281584685,-0.426358036214299,-0.4543618351447533,-0.4384787472035794,Republican
FAYETTE COUNTY,WV,21.8,14.8,82.8,1.2,93.4,92.3,17441,2.41,41394,21914,0.7,661.55,1.9,91.3,49.7,40488,46039,69.6,1968,671,998,108,1761,232,1560,Fayette County,54019.0,16862,15337,14070,15194,16967,14619,-0.3864903332937967,-0.3955793179891764,-0.208315565031983,-0.0273792286428853,0.0642423528024989,0.1692318216020247,Republican
FENTRESS COUNTY,TN,22.4,16.0,83.0,1.6,97.6,96.3,7443,2.42,36520,20093,1.2,498.61,1.1,84.3,50.8,18489,17959,36.0,1754,607,996,0,1685,138,1545,Fentress County,47049.0,8729,7333,6895,6739,6700,6029,-0.713369229006759,-0.6733942451929633,-0.534010152284264,-0.4389375278231192,-0.2868656716417911,-0.1472881074805108,Republican
FERGUS COUNTY,MT,25.2,29.1,92.7,2.2,95.5,93.7,4912,2.2,50540,30529,1.1,4339.8,3.5,88.5,48.9,11446,11586,2.7,1483,465,676,28,1411,253,1163,Fergus County,30027.0,6507,5840,6071,6232,6127,5994,-0.5183648378669126,-0.5251712328767124,-0.431065722286279,-0.34900513478819,-0.4640117512648931,-0.5006673340006673,Republican
FERRY COUNTY,WA,28.2,18.8,87.0,4.8,76.1,73.0,3060,2.41,41939,25857,1.5,2203.16,5.5,84.0,48.6,7178,7551,3.4,440,131,208,76,351,30,366,Ferry County,53019.0,4367,3601,3440,3501,3341,3037,-0.2942523471490726,-0.3065815051374618,-0.2037790697674418,-0.1282490716938017,-0.2448368751870697,-0.3174185051037207,Republican
FILLMORE COUNTY,MN,21.2,22.2,91.0,1.8,97.5,96.0,8616,2.38,61207,30392,1.6,861.3,5.7,90.6,49.8,21228,20866,24.2,2020,606,1127,0,1950,237,1655,Fillmore County,27045.0,12141,11055,10892,11234,11698,10223,-0.2265052302116795,-0.2170058796924467,0.0734484024972456,0.0826063735089905,0.011198495469311,0.036584172943363,Republican
FILLMORE COUNTY,NE,23.1,21.4,92.1,3.9,96.5,93.3,2510,2.12,60313,34483,1.6,575.37,3.7,91.8,49.8,5551,5890,10.2,652,68,225,0,628,40,480,Fillmore County,31059.0,3134,2941,2879,2947,3193,2998,-0.5315890236119974,-0.5158109486569195,-0.4168113928447378,-0.3227010519172039,-0.4653930472909489,-0.3922615076717811,Republican
FINNEY COUNTY,KS,11.4,17.1,71.0,50.8,88.4,40.1,12519,2.89,60798,24152,22.7,1301.97,45.4,85.7,48.4,38470,36776,28.2,3077,964,1590,992,1918,246,2537,Finney County,20055.0,11800,10159,9084,10354,9933,9150,-0.2466949152542372,-0.3105620631951963,-0.3893659180977543,-0.3526173459532547,-0.516258934863586,-0.4383606557377049,Republican
